id,account_id,accrual_date,amount
a_0_0_bal_0,a_0_0,2019-12-24,9950997.0
a_0_0_bal_1,a_0_0,2019-12-25,9950749.0
a_0_0_bal_2,a_0_0,2019-12-26,9949890.0
a_0_0_bal_3,a_0_0,2019-12-27,9949114.0
a_0_0_bal_4,a_0_0,2019-12-28,9948509.0
a_0_0_bal_5,a_0_0,2019-12-29,9948476.0
a_0_0_bal_6,a_0_0,2019-12-30,9948231.0
a_0_0_bal_7,a_0_0,2019-12-31,9947436.0
a_0_0_bal_8,a_0_0,2020-01-01,9947038.0
a_0_0_bal_9,a_0_0,2020-01-02,9946474.0
a_0_0_bal_10,a_0_0,2020-01-03,9945598.0
a_0_0_bal_11,a_0_0,2020-01-04,9944852.0
a_0_0_bal_12,a_0_0,2020-01-05,9944696.0
a_0_0_bal_13,a_0_0,2020-01-06,9944215.0
a_0_0_bal_14,a_0_0,2020-01-07,9943857.0
a_0_0_bal_15,a_0_0,2020-01-08,9943398.0
a_0_0_bal_16,a_0_0,2020-01-09,9943102.0
a_0_0_bal_17,a_0_0,2020-01-10,9942392.0
a_0_0_bal_18,a_0_0,2020-01-11,9941880.0
a_0_0_bal_19,a_0_0,2020-01-12,9941643.0
a_0_0_bal_20,a_0_0,2020-01-13,9941285.0
a_0_0_bal_21,a_0_0,2020-01-14,9941746.0
a_0_0_bal_22,a_0_0,2020-01-15,9941309.0
a_0_0_bal_23,a_0_0,2020-01-16,9940865.0
a_0_0_bal_24,a_0_0,2020-01-17,9940938.0
a_0_0_bal_25,a_0_0,2020-01-18,9941157.0
a_0_0_bal_26,a_0_0,2020-01-19,9940413.0
a_0_0_bal_27,a_0_0,2020-01-20,9939476.0
a_0_0_bal_28,a_0_0,2020-01-21,9938966.0
a_0_0_bal_29,a_0_0,2020-01-22,9938415.0
a_0_0_bal_30,a_0_0,2020-01-23,9937621.0
a_0_0_bal_31,a_0_0,2020-01-24,9937220.0
a_0_0_bal_32,a_0_0,2020-01-25,9936260.0
a_0_0_bal_33,a_0_0,2020-01-26,9935709.0
a_0_0_bal_34,a_0_0,2020-01-27,9935266.0
a_0_0_bal_35,a_0_0,2020-01-28,9934577.0
